Data,dia,SEMANA,Coordenador,Base,Rotas,DS (%),Utilização (%) - BSC,Utilização - Diario de bordo,Carros em manutenção,Sem Motorista,PNR (Qtd),Enviado para faturamento, Valor Cashout,% PNR Revertido,Ambulância Total,Ambulancia Custo Pralog,Ambulancia pendente de aprovação,NS,Treinamentos motoristas %,Academia do dispatcher,Visita Fantasma / %,Vou para la %,Anjos %,Aceite Scheduling,Scorecard / Telemetria,,Wickos (rotas pendentes de conferencia),Equipamentos off line,,Observações,Coluna1,Coluna2,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
1-jun.,DOMINGO,23,Erica,SMG2,0,"0,0%",0%,0,20,0,0,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,Em andamento
1-jun.,DOMINGO,23,Jonathas ,SMG3,0,"0,0%",0%,0,3,6,0,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,Concluído
1-jun.,DOMINGO,23,Jonathas ,EMG21,1,"98,3%",,2,1,8,0,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,Atrasado
1-jun.,DOMINGO,23,Erica,SMG6,0,"0,0%",,0,3,1,0,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
1-jun.,DOMINGO,23,Jonathas ,SMG8,12,"96,2%",,12,6,3,0,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
1-jun.,DOMINGO,23,Jonathas ,SMG9,0,"0,0%",,0,3,0,0,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
1-jun.,DOMINGO,23,Erica,SMG12,0,"0,0%",,0,5,1,0,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
1-jun.,DOMINGO,23,Erica,EMG8,0,"0,0%",,0,4,2,0,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
1-jun.,DOMINGO,23,Jonathas ,SMG14,12,"89,9%",,12,13,11,0,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
1-jun.,DOMINGO,23,Sabrina,SRJ1,11,"94,0%",,9,8,1,0,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
1-jun.,DOMINGO,23,Sabrina,SRJ3,0,"0,0%",,0,2,0,0,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
1-jun.,DOMINGO,23,Sabrina,SRJ5,0,"0,0%",,0,3,0,0,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
1-jun.,DOMINGO,23,Sabrina,SRJ8,8,"97,9%",,2,4,1,0,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
1-jun.,DOMINGO,23,Sabrina,SRJ10,7,"91,2%",,7,15,0,1,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
1-jun.,DOMINGO,23,Sabrina,SRJ12,0,"0,0%",,0,2,0,0,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
1-jun.,DOMINGO,23,Sabrina,SES1,0,"0,0%",,0,0,4,0,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
1-jun.,DOMINGO,23,Sabrina,SES2,0,"0,0%",,0,0,1,0,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
1-jun.,DOMINGO,23,Jonathas ,SSP5,0,"0,0%",,0,4,1,0,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
1-jun.,DOMINGO,23,Jonathas ,SSP30,0,"0,0%",,0,2,0,0,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
2-jun.,SEGUNDA,23,Erica,SMG2,30,"96,2%",,31,20,0,0,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
